site_id,period,throughput_tonnes_plan,head_grade_pct_plan,recovery_pct_plan,unit_cost_usd_per_tonne_plan,copper_price_usd_per_lb_plan,tc_rc_usd_per_lb_plan,payable_percent_plan,sustaining_capex_usd_plan,working_capital_change_usd_plan,plan_version,throughput_tonnes_actual,copper_production_tonnes_actual,head_grade_pct_actual,recovery_pct_actual,availability_pct_actual,utilization_pct_actual,downtime_hours_actual,mining_cost_usd_actual,processing_cost_usd_actual,ga_cost_usd_actual,sustaining_capex_usd_actual,working_capital_change_usd_actual,copper_price_usd_per_lb_actual,tc_rc_usd_per_lb_actual,payable_percent_actual,benchmark_price_name,month_start_date,calendar_year,calendar_month,calendar_quarter,month_label,operating_cost_usd_plan,operating_cost_usd_actual,unit_cost_usd_per_tonne_actual,copper_production_tonnes_plan,net_realized_price_usd_per_lb_plan,net_realized_price_usd_per_lb_actual,revenue_proxy_usd_plan,revenue_proxy_usd_actual,ebitda_proxy_usd_plan,ebitda_proxy_usd_actual,operating_cash_flow_proxy_usd_plan,operating_cash_flow_proxy_usd_actual,free_cash_flow_proxy_usd_plan,free_cash_flow_proxy_usd_actual,throughput_tonnes_variance,throughput_tonnes_variance_pct,head_grade_pct_variance,head_grade_pct_variance_pct,recovery_pct_variance,recovery_pct_variance_pct,copper_production_tonnes_variance,copper_production_tonnes_variance_pct,copper_price_usd_per_lb_variance,copper_price_usd_per_lb_variance_pct,net_realized_price_usd_per_lb_variance,net_realized_price_usd_per_lb_variance_pct,unit_cost_usd_per_tonne_variance,unit_cost_usd_per_tonne_variance_pct,operating_cost_usd_variance,operating_cost_usd_variance_pct,revenue_proxy_usd_variance,revenue_proxy_usd_variance_pct,ebitda_proxy_usd_variance,ebitda_proxy_usd_variance_pct,operating_cash_flow_proxy_usd_variance,operating_cash_flow_proxy_usd_variance_pct,free_cash_flow_proxy_usd_variance,free_cash_flow_proxy_usd_variance_pct,sustaining_capex_usd_variance,sustaining_capex_usd_variance_pct,working_capital_change_usd_variance,working_capital_change_usd_variance_pct,site_name,data_classification,sample_data_flag,critical_alert_count,warning_alert_count,primary_alert_metric,primary_alert_message,overall_alert_level,stockpile_feed_pct_actual,primary_process_area,primary_ore_source,primary_process_area_downtime_hours,top_cost_center,top_cost_center_variance_usd,top_cost_center_margin_pressure_share_pct,site_positive_cost_variance_usd,site_production_gap_tonnes,site_production_gap_share_pct,site_cost_pressure_share_pct
demo_north_concentrator,2025-01,237800,0.75,86.6,17.95,3.92,0.25,96.5,1792000,648000,sample_demo_budget_2025,234820,1445,0.715,86.05,90.8,87.8,57,2112250,1624500,604200,1904000,702000,3.9,0.255,96.6,sample_lme_proxy,2025-01-01,2025,1,1,Jan 2025,4268510.0,4340950,18.486287369048632,1544.511,3.67,3.645,12059204.020678384,11217001.181044614,7790694.020678384,6876051.181044614,7142694.020678384,6174051.181044614,5350694.020678384,4270051.181044614,-2980,-0.012531539108494534,-0.03500000000000003,-0.04666666666666671,-0.5499999999999972,-0.006351039260969945,-99.51099999999997,-0.06442880626942765,-0.020000000000000018,-0.005102040816326535,-0.02499999999999991,-0.006811989100817414,0.5362873690486332,0.02987673365173444,72440.0,0.016970793087049112,-842202.8396337703,-0.06983900746596645,-914642.8396337703,-0.11740197178917401,-968642.8396337703,-0.13561309455921122,-1080642.8396337703,-0.20196311645881812,112000,0.0625,54000,0.08333333333333333,Demo North Concentrator,sample_demo_monthly_monitoring,True,5,1,Copper Production,Copper Production is 6.4% below plan.,critical,0.0,Grinding & Flotation,fresh_pit_north,35,Mine Operations,234106,1.0,234106,99.51099999999997,0.4839165832387169,0.9522736425058677
demo_north_concentrator,2025-02,234900,0.77,86.8,17.75,3.98,0.25,96.5,1680000,432000,sample_demo_budget_2025,236590,1527,0.745,86.65,91.5,88.5,53,2034900,1607400,583000,1736000,540000,3.97,0.245,96.6,sample_lme_proxy,2025-02-01,2025,2,1,Feb 2025,4169475.0,4225300,17.85916564520901,1569.97764,3.73,3.725,12458445.930872113,12113696.819906939,8288970.9308721125,7888396.819906939,7856970.9308721125,7348396.819906939,6176970.9308721125,5612396.819906939,1690,0.007194550872711793,-0.025000000000000022,-0.03246753246753249,-0.14999999999999147,-0.001728110599078243,-42.977640000000065,-0.02737468286491014,-0.009999999999999787,-0.002512562814070298,-0.004999999999999893,-0.001340482573726513,0.10916564520901062,0.006150177194873838,55825.0,0.013388975830290384,-344749.1109651737,-0.027671919345163516,-400574.1109651737,-0.0483261570472208,-508574.1109651737,-0.06472903049276303,-564574.1109651737,-0.09139983290895344,56000,0.03333333333333333,108000,0.25,Demo North Concentrator,sample_demo_monthly_monitoring,True,1,3,Head Grade,Head Grade is 3.2% below plan.,critical,0.0,Grinding & Flotation,fresh_pit_north,33,Mine Operations,200331,1.0,200331,42.977640000000065,0.38138474979478326,0.9767526901642621
demo_north_concentrator,2025-03,244850,0.76,87.1,17.55,4.05,0.25,96.5,1736000,324000,sample_demo_budget_2025,244800,1568,0.735,87.15,91.4,88.9,53,2093300,1635600,598900,1680000,378000,4.04,0.245,96.6,sample_lme_proxy,2025-03-01,2025,3,1,Mar 2025,4297117.5,4327800,17.67892156862745,1620.8090599999998,3.8,3.795,13103189.595149714,12672702.05626076,8806072.095149714,8344902.056260761,8482072.095149714,7966902.056260761,6746072.0951497145,6286902.056260761,-50,-0.00020420665713702266,-0.025000000000000022,-0.03289473684210529,0.05000000000001137,0.0005740528128589136,-52.80905999999982,-0.032581913134172524,-0.009999999999999787,-0.0024691358024690833,-0.004999999999999893,-0.0013157894736841825,0.12892156862745097,0.007345958326350482,30682.5,0.007140251575620169,-430487.5388889536,-0.03285364496658914,-461170.0388889536,-0.05236955068116702,-515170.0388889536,-0.060736342854659564,-459170.0388889536,-0.068064798658035,-56000,-0.03225806451612903,54000,0.16666666666666666,Demo North Concentrator,sample_demo_monthly_monitoring,True,0,6,Head Grade,Head Grade is 3.3% below plan.,warning,0.0,Grinding & Flotation,fresh_pit_north,33,Mine Operations,202568,1.0,202568,52.80905999999982,0.41369581946816636,0.8963384145666939
demo_north_concentrator,2025-04,247800,0.78,87.4,17.45,4.12,0.25,96.5,1680000,216000,sample_demo_budget_2025,250200,1670,0.765,87.25,92.0,89.2,50,2123550,1658800,614800,1792000,270000,4.12,0.235,96.6,sample_lme_proxy,2025-04-01,2025,4,2,Apr 2025,4324110.0,4397150,17.574540367705836,1689.3021600000004,3.87,3.8850000000000002,13908486.559488434,13817162.973891031,9584376.559488434,9420012.973891031,9368376.559488434,9150012.973891031,7688376.559488434,7358012.973891031,2400,0.009685230024213076,-0.015000000000000013,-0.019230769230769246,-0.15000000000000568,-0.0017162471395881656,-19.302160000000413,-0.011426114556084157,0.0,0.0,0.015000000000000124,0.003875968992248094,0.12454036770583699,0.007136983822684068,73040.0,0.01689133717689883,-91323.58559740335,-0.006566033278085312,-164363.58559740335,-0.017149116019934033,-218363.58559740335,-0.023308583318658493,-330363.58559740335,-0.042969225432863675,112000,0.06666666666666667,54000,0.25,Demo North Concentrator,sample_demo_monthly_monitoring,True,1,0,Working Capital Change,Working Capital Change is 25.0% above plan.,critical,0.0,Grinding & Flotation,fresh_pit_north,31,Mine Operations,220942,1.0,220942,19.302160000000413,0.2597933434544641,0.8660758034863802
demo_north_concentrator,2025-05,256800,0.79,87.8,17.35,4.18,0.25,96.5,1792000,162000,sample_demo_budget_2025,256810,1748,0.775,87.85,92.6,89.7,46,2146350,1693300,609500,1848000,216000,4.24,0.235,96.6,sample_lme_proxy,2025-05-01,2025,5,2,May 2025,4455480.0,4449150,17.324675830380436,1781.2161600000002,3.9299999999999997,4.005,14892607.708537405,14909234.121384703,10437127.708537405,10460084.121384703,10275127.708537405,10244084.121384703,8483127.708537405,8396084.121384703,10,3.8940809968847354e-05,-0.015000000000000013,-0.018987341772151913,0.04999999999999716,0.0005694760820045235,-33.21616000000017,-0.01864802304510878,0.0600000000000005,0.014354066985646053,0.07500000000000018,0.0190839694656489,-0.02532416961956585,-0.0014596063181305965,-6330.0,-0.0014207223464138543,16626.412847297266,0.0011164205203475501,22956.412847297266,0.0021994952527522762,-31043.587152702734,-0.003021236137718193,-87043.58715270273,-0.010260789433253753,56000,0.03125,54000,0.3333333333333333,Demo North Concentrator,sample_demo_monthly_monitoring,True,1,0,Working Capital Change,Working Capital Change is 33.3% above plan.,critical,0.0,Grinding & Flotation,fresh_pit_north,29,Mine Operations,185939,1.0,185939,33.21616000000017,0.3457178898987091,0.8437505672226961
demo_north_concentrator,2025-06,259200,0.81,88.0,17.25,4.22,0.25,96.5,1904000,108000,sample_demo_budget_2025,261690,1811,0.785,88.15,92.4,90.0,47,2183250,1705100,620100,1960000,162000,4.31,0.235,96.6,sample_lme_proxy,2025-06-01,2025,6,2,Jun 2025,4471200.0,4508450,17.228208949520425,1847.5776000000003,3.9699999999999998,4.074999999999999,15604676.428935371,15716558.34952417,11133476.428935371,11208108.34952417,11025476.428935371,11046108.34952417,9121476.428935371,9086108.34952417,2490,0.009606481481481481,-0.025000000000000022,-0.030864197530864224,0.15000000000000568,0.001704545454545519,-36.5776000000003,-0.01979759875850427,0.08999999999999986,0.021327014218009446,0.10499999999999954,0.026448362720402907,-0.021791050479574636,-0.001263249303163747,37250.0,0.008331096797280372,111881.92058879882,0.007169768697115622,74631.92058879882,0.00670337976329065,20631.92058879882,0.0018712951518949513,-35368.07941120118,-0.0038774511655816695,56000,0.029411764705882353,54000,0.5,Demo North Concentrator,sample_demo_monthly_monitoring,True,1,1,Head Grade,Head Grade is 3.1% below plan.,critical,0.0,Grinding & Flotation,fresh_pit_north,29,Mine Operations,215922,1.0,215922,36.5776000000003,0.3463840361217613,0.8375887350168743
demo_north_concentrator,2025-07,262800,0.82,88.2,17.15,4.25,0.25,96.5,1848000,54000,sample_demo_budget_2025,264740,1859,0.795,88.35,92.2,90.4,48,2238600,1734600,630700,2016000,108000,4.34,0.225,96.6,sample_lme_proxy,2025-07-01,2025,7,3,Jul 2025,4507020.0,4603900,17.390269698572183,1900.6747199999998,4.0,4.115,16174444.070132999,16291482.835136984,11667424.070132999,11687582.835136984,11613424.070132999,11579582.835136984,9765424.070132999,9563582.835136984,1940,0.007382039573820396,-0.02499999999999991,-0.030487804878048672,0.14999999999999147,0.0017006802721087468,-41.67471999999975,-0.021926276790801825,0.08999999999999986,0.021176470588235262,0.11500000000000021,0.028750000000000053,0.2402696985721846,0.014009894960477238,96880.0,0.021495356133320907,117038.7650039848,0.0072360301532776216,20158.765003984794,0.0017277819750795259,-33841.234996015206,-0.0029139756536616036,-201841.2349960152,-0.020668967732116753,168000,0.09090909090909091,54000,1.0,Demo North Concentrator,sample_demo_monthly_monitoring,True,1,2,Head Grade,Head Grade is 3.0% below plan.,critical,0.0,Grinding & Flotation,fresh_pit_north,30,Mine Operations,255511,1.0,255511,41.67471999999975,0.3642175584194014,0.844591869789704
demo_north_concentrator,2025-08,264000,0.83,88.3,17.05,4.28,0.25,96.5,1792000,54000,sample_demo_budget_2025,265960,1919,0.815,88.55,92.8,90.8,45,2214000,1728700,625400,1848000,108000,4.37,0.225,96.6,sample_lme_proxy,2025-08-01,2025,8,3,Aug 2025,4501200.0,4568100,17.17589111144533,1934.8295999999998,4.03,4.1450000000000005,16588584.973164733,16939902.075522713,12087384.973164733,12371802.075522713,12033384.973164733,12263802.075522713,10241384.973164733,10415802.075522713,1960,0.007424242424242424,-0.015000000000000013,-0.018072289156626523,0.25,0.0028312570781426957,-15.8295999999998,-0.008181392304521185,0.08999999999999986,0.021028037383177534,0.11500000000000021,0.028535980148883425,0.1258911114453305,0.007383642900019384,66900.0,0.014862703279125566,351317.10235797986,0.021178244131509934,284417.10235797986,0.02353007726562989,230417.10235797986,0.019148153480656162,174417.10235797986,0.0170306167393376,56000,0.03125,54000,1.0,Demo North Concentrator,sample_demo_monthly_monitoring,True,1,0,Working Capital Change,Working Capital Change is 100.0% above plan.,critical,0.0,Grinding & Flotation,fresh_pit_north,28,Mine Operations,233472,1.0,233472,15.8295999999998,0.21448159991328153,0.84510468247763
demo_north_concentrator,2025-09,261960,0.82,88.2,17.15,4.24,0.25,96.5,1736000,108000,sample_demo_budget_2025,258000,1775,0.785,87.65,91.2,88.9,55,2220350,1693600,630700,1904000,216000,4.2,0.235,96.6,sample_lme_proxy,2025-09-01,2025,9,3,Sep 2025,4492614.0,4544650,17.614922480620155,1894.5995039999998,3.99,3.9650000000000003,16082438.071501182,14988319.247970983,11589824.071501182,10443669.247970983,11481824.071501182,10227669.247970983,9745824.071501182,8323669.247970983,-3960,-0.015116811726981219,-0.03499999999999992,-0.0426829268292682,-0.5499999999999972,-0.00623582766439906,-119.5995039999998,-0.06312653610828761,-0.040000000000000036,-0.009433962264150952,-0.02499999999999991,-0.00626566416040098,0.4649224806201566,0.027109182543449368,52036.0,0.011582566407886366,-1094118.823530199,-0.06803190030428456,-1146154.823530199,-0.09889320290448052,-1254154.823530199,-0.10922958022350411,-1422154.823530199,-0.14592453271231068,168000,0.0967741935483871,108000,1.0,Demo North Concentrator,sample_demo_monthly_monitoring,True,4,4,Copper Production,Copper Production is 6.3% below plan.,critical,48.0,Grinding & Flotation,north_blend_stockpile,34,Mine Operations,243600,1.0,243600,119.5995039999998,0.48694221785433534,0.8975648579039871
demo_north_concentrator,2025-10,264320,0.81,88.0,17.25,4.2,0.25,96.5,1680000,216000,sample_demo_budget_2025,264600,1852,0.795,88.05,92.1,89.8,49,2238500,1722600,630700,1736000,270000,4.28,0.235,96.6,sample_lme_proxy,2025-10-01,2025,10,4,Oct 2025,4559520.0,4591800,17.35374149659864,1884.0729600000002,3.95,4.045,15832751.122519959,15954047.992482807,11273231.122519959,11362247.992482807,11057231.122519959,11092247.992482807,9377231.122519959,9356247.992482807,280,0.001059322033898305,-0.015000000000000013,-0.018518518518518535,0.04999999999999716,0.0005681818181817858,-32.072960000000194,-0.01702320487631232,0.08000000000000007,0.019047619047619063,0.09499999999999975,0.024050632911392342,0.10374149659864074,0.006013999802819752,32280.0,0.007079692599220971,121296.86996284872,0.0076611366542811525,89016.86996284872,0.00789630488325785,35016.86996284872,0.0031668751041597407,-20983.130037151277,-0.002237668002739005,56000,0.03333333333333333,54000,0.25,Demo North Concentrator,sample_demo_monthly_monitoring,True,1,0,Working Capital Change,Working Capital Change is 25.0% above plan.,critical,48.0,Grinding & Flotation,north_blend_stockpile,30,Mine Operations,232311,1.0,232311,32.072960000000194,0.31458225563037906,0.9204627850308061
demo_north_concentrator,2025-11,262160,0.8,87.7,17.35,4.12,0.25,96.5,1792000,270000,sample_demo_budget_2025,263730,1787,0.775,87.45,91.7,89.4,51,2237200,1715700,646600,1904000,324000,4.11,0.245,96.6,sample_lme_proxy,2025-11-01,2025,11,4,Nov 2025,4548476.0,4599500,17.44018503772798,1839.3145600000003,3.87,3.865,15143579.663943235,14709077.513812028,10595103.663943235,10109577.513812028,10325103.663943235,9785577.513812028,8533103.663943235,7881577.513812028,1570,0.005988709185230394,-0.025000000000000022,-0.03125000000000003,-0.25,-0.0028506271379703536,-52.314560000000256,-0.02844242150728163,-0.009999999999999787,-0.0024271844660193657,-0.004999999999999893,-0.0012919896640826599,0.09018503772797715,0.005197984883456895,51024.0,0.011217823288503665,-434502.15013120696,-0.02869216920790226,-485526.15013120696,-0.04582552144190217,-539526.150131207,-0.05225382404782151,-651526.150131207,-0.07635277570624638,112000,0.0625,54000,0.2,Demo North Concentrator,sample_demo_monthly_monitoring,True,1,2,Head Grade,Head Grade is 3.1% below plan.,critical,48.0,Grinding & Flotation,north_blend_stockpile,32,Mine Operations,235871,1.0,235871,52.314560000000256,0.38294305775799775,0.9444511179447754
