dataset_name,layer,description,grain,key_columns,required_columns,optional_columns,dashboard_use,key_logic,limitation_note
plan_monthly,canonical_source,Monthly planning targets used as the baseline for actual-vs-plan monitoring.,One row per site_id and period (YYYY-MM).,"site_id, period","site_id, period, throughput_tonnes_plan, head_grade_pct_plan, recovery_pct_plan, unit_cost_usd_per_tonne_plan, copper_price_usd_per_lb_plan, tc_rc_usd_per_lb_plan, payable_percent_plan, sustaining_capex_usd_plan, working_capital_change_usd_plan","plan_version, commentary","Plan baseline for executive overview, actual-vs-plan, and cost/margin review.",Unique key = site_id + period. Period must be monthly and consistently formatted as YYYY-MM.,Sample/demo planning targets only. Not a live planning system export.
actual_production_monthly,canonical_source,Monthly actual plant throughput and copper production outcomes.,One row per site_id and period (YYYY-MM).,"site_id, period","site_id, period, throughput_tonnes_actual, copper_production_tonnes_actual",shipment_tonnes_actual,Monthly actual-vs-plan and executive overview pages.,Unique key = site_id + period.,Sample/demo actual outcomes. Not a plant historian or telemetry feed.
plant_performance_monthly,canonical_source,Monthly process performance indicators used to explain production deviations.,One row per site_id and period (YYYY-MM).,"site_id, period","site_id, period, head_grade_pct_actual, recovery_pct_actual","availability_pct_actual, utilization_pct_actual, downtime_hours_actual",Process performance page and driver diagnostics.,Unique key = site_id + period.,Sample/demo process indicators. Not an engineering-grade metallurgical system.
cost_actuals_monthly,canonical_source,Monthly operating cost actuals and cash burden proxies.,One row per site_id and period (YYYY-MM).,"site_id, period","site_id, period, mining_cost_usd_actual, processing_cost_usd_actual, ga_cost_usd_actual, sustaining_capex_usd_actual, working_capital_change_usd_actual","maintenance_cost_usd_actual, logistics_cost_usd_actual",Cost and margin review plus executive oversight.,Unique key = site_id + period.,Sample/demo cost actuals only. Not ERP or management-accounting extracts.
market_prices_monthly,canonical_source,Monthly market price and commercial assumption layer used in revenue proxies.,One row per site_id and period (YYYY-MM).,"site_id, period","site_id, period, copper_price_usd_per_lb_actual, tc_rc_usd_per_lb_actual, payable_percent_actual",benchmark_price_name,Executive overview and cost/margin review.,Unique key = site_id + period.,Sample/demo market assumptions. Not a market data vendor feed.
process_driver_monthly,canonical_source,"Monthly process-area driver detail used to explain downtime, feed mix, and production gap concentration.","One row per site_id, period, and process_area.","site_id, period, process_area","site_id, period, process_area, ore_source, stockpile_flag, ore_mix_pct, throughput_tonnes_plan, throughput_tonnes_actual, copper_production_tonnes_plan, copper_production_tonnes_actual, availability_pct, downtime_hours",commentary,Process Performance drill-through and operational driver diagnostics.,Unique key = site_id + period + process_area.,Public-safe operational driver detail for BI drill-down. It is not plant telemetry or root-cause analytics.
cost_center_monthly,canonical_source,Monthly cost-center detail used to explain unit-cost and margin pressure.,"One row per site_id, period, and cost_center.","site_id, period, cost_center","site_id, period, cost_center, cost_usd_plan, cost_usd_actual",commentary,Cost and Margin drill-through and cost-pressure diagnostics.,Unique key = site_id + period + cost_center.,Public-safe management-control cost detail. It is not ERP cost-center governance.
kpi_monthly_summary,canonical_output,"Wide monthly monitoring summary with plan, actual, variance, and alert fields.",One row per site_id and period (YYYY-MM).,"site_id, period","site_id, period, month_start_date, calendar_year, calendar_month, calendar_quarter, plan_version, data_classification, sample_data_flag, overall_alert_level, critical_alert_count, warning_alert_count, primary_alert_metric, primary_alert_message, throughput_tonnes_plan, throughput_tonnes_actual, throughput_tonnes_variance, throughput_tonnes_variance_pct, head_grade_pct_plan, head_grade_pct_actual, head_grade_pct_variance, head_grade_pct_variance_pct, recovery_pct_plan, recovery_pct_actual, recovery_pct_variance, recovery_pct_variance_pct, copper_production_tonnes_plan, copper_production_tonnes_actual, copper_production_tonnes_variance, copper_production_tonnes_variance_pct, copper_price_usd_per_lb_plan, copper_price_usd_per_lb_actual, copper_price_usd_per_lb_variance, copper_price_usd_per_lb_variance_pct, net_realized_price_usd_per_lb_plan, net_realized_price_usd_per_lb_actual, net_realized_price_usd_per_lb_variance, net_realized_price_usd_per_lb_variance_pct, unit_cost_usd_per_tonne_plan, unit_cost_usd_per_tonne_actual, unit_cost_usd_per_tonne_variance, unit_cost_usd_per_tonne_variance_pct, operating_cost_usd_plan, operating_cost_usd_actual, operating_cost_usd_variance, operating_cost_usd_variance_pct, revenue_proxy_usd_plan, revenue_proxy_usd_actual, revenue_proxy_usd_variance, revenue_proxy_usd_variance_pct, ebitda_proxy_usd_plan, ebitda_proxy_usd_actual, ebitda_proxy_usd_variance, ebitda_proxy_usd_variance_pct, operating_cash_flow_proxy_usd_plan, operating_cash_flow_proxy_usd_actual, operating_cash_flow_proxy_usd_variance, operating_cash_flow_proxy_usd_variance_pct, free_cash_flow_proxy_usd_plan, free_cash_flow_proxy_usd_actual, free_cash_flow_proxy_usd_variance, free_cash_flow_proxy_usd_variance_pct, sustaining_capex_usd_plan, sustaining_capex_usd_actual, sustaining_capex_usd_variance, sustaining_capex_usd_variance_pct, working_capital_change_usd_plan, working_capital_change_usd_actual, working_capital_change_usd_variance, working_capital_change_usd_variance_pct","month_label, site_name, availability_pct_actual, utilization_pct_actual, downtime_hours_actual, stockpile_feed_pct_actual, primary_ore_source, primary_process_area, primary_process_area_downtime_hours, site_production_gap_tonnes, site_production_gap_share_pct, site_positive_cost_variance_usd, site_cost_pressure_share_pct, top_cost_center, top_cost_center_variance_usd, top_cost_center_margin_pressure_share_pct",Primary wide KPI summary for monthly executive overview and monitoring dashboards.,"One monthly row per site_id + period with explicit plan, actual, variance, and alert outputs.","Built from sample/demo source tables. Suitable for portfolio BI, not for live mine control."
dim_site,semantic_dimension,Shared site dimension used to filter the monthly monitoring marts coherently.,One row per site_id.,site_id,"site_id, site_name, site_sort_order",,Shared site slicer for the monthly Power BI model.,Unique key = site_id.,Built from sample/demo site labels derived from the monthly monitoring layer.
dim_month,semantic_dimension,Shared month dimension used to filter the monthly monitoring marts coherently.,One row per monthly reporting period.,period,"period, month_start_date, calendar_year, calendar_month, calendar_quarter, month_label, quarter_label, month_sort_order",,Shared month slicer and sort layer for the monthly Power BI model.,Unique key = period (YYYY-MM).,Built from the monthly monitoring layer and intended for business-facing calendar filtering rather than accounting calendars.
dim_process_area,semantic_dimension,Shared process-area dimension for process-driver drill visuals.,One row per process_area.,process_area,"process_area, process_area_sort_order",,Optional shared process-area slicer for process-driver visuals.,Unique key = process_area.,Built from public-safe process-driver labels rather than plant control-system hierarchies.
dim_cost_center,semantic_dimension,Shared cost-center dimension for cost-pressure drill visuals.,One row per cost_center.,cost_center,"cost_center, cost_center_sort_order",,Optional shared cost-center slicer for cost and margin drill visuals.,Unique key = cost_center.,Built from public-safe management-control cost labels rather than ERP governance structures.
